Month of Order Date,Year of Order Date,2 in one,Profit,Sales
March,2015,787.53,165.3813,787.53
April,2015,157.794,-115.7156,157.794
June,2016,47.04,18.3456,47.04
June,2016,30.84,13.878,30.84
June,2016,226.56,63.4368,226.56
June,2016,115.02,51.759,115.02
June,2016,68.04,19.7316,68.04
December,2014,600.558,-8.579400000,600.558
September,2014,617.7,-407.682,617.7
November,2017,2.388,-1.8308,2.388
November,2017,243.992,30.499,243.992
November,2016,81.424,-9.1602,81.424
November,2016,238.56,26.2416,238.56
February,2017,59.97,-11.994,59.97
February,2017,78.304,29.364,78.304
February,2017,21.456,6.9732,21.456
October,2016,20.04,9.6192,20.04
October,2016,35.44,16.6568,35.44
October,2016,11.52,3.456,11.52
October,2016,4.02,1.9698,4.02
October,2016,76.176,26.6616,76.176
October,2016,65.88,18.4464,65.88
October,2016,43.12,20.6976,43.12
September,2016,82.8,10.35,82.8
September,2017,8.82,2.3814,8.82
September,2017,10.86,5.1042,10.86
September,2017,143.7,68.976,143.7
December,2017,839.43,218.2518,839.43
September,2015,671.93,20.1579,671.93
October,2014,93.888,12.9096,93.888
December,2016,384.45,103.8015,384.45
December,2016,149.97,5.998800000,149.97
December,2016,1951.84,585.552,1951.84
December,2016,171.55,80.6285,171.55
March,2016,157.92,17.766,157.92
March,2016,203.184,15.2388,203.184
May,2015,58.38,26.271,58.38
May,2015,105.52,48.5392,105.52
May,2015,80.88,21.0288,80.88
May,2015,6.63,1.7901,6.63
March,2014,457.568,51.476400000,457.568
November,2016,14.62,6.8714,14.62
November,2016,944.93,236.2325,944.93
May,2016,5.98,2.691,5.98
December,2015,54.384,1.3596,54.384
November,2016,28.4,13.348,28.4
November,2016,27.68,9.688,27.68
September,2014,9.936,2.7324,9.936
September,2014,8159.952,-1359.992,8159.952
September,2014,275.928,-58.6347,275.928
September,2014,1740.06,-24.858000000,1740.06
September,2014,32.064,6.8136,32.064
September,2014,177.98,-453.849,177.98
September,2014,143.976,8.998500000,143.976
August,2014,20.94,9.8418,20.94
August,2014,110.96,53.2608,110.96
August,2014,340.144,21.259,340.144
September,2014,52.448,-131.12,52.448
September,2014,20.16,6.552,20.16
April,2017,97.264,-243.16,97.264
November,2015,396.802,-11.337200000,396.802
November,2015,15.88,-3.7715,15.88
December,2015,3.28,1.4104,3.28
December,2014,24.816,1.8612,24.816
December,2014,408.744,76.6395,408.744
November,2014,503.96,131.0296,503.96
November,2014,149.95,41.986,149.95
November,2014,29,7.25,29
November,2016,7.16,3.4368,7.16
August,2014,176.8,22.984,176.8
July,2016,37.224,3.7224,37.224
July,2016,20.016,6.255,20.016
October,2015,899.136,112.392,899.136
October,2015,71.76,20.0928,71.76
October,2015,51.84,24.8832,51.84
October,2015,626.352,46.9764,626.352
October,2015,19.9,6.567,19.9
October,2015,14.28,6.7116,14.28
March,2014,7.408,1.2038,7.408
March,2014,6.048,1.5876,6.048
November,2017,46.26,12.0276,46.26
July,2017,2.946,-2.2586,2.946
July,2017,16.056,5.8203,16.056
June,2017,21.744,6.795,21.744
August,2014,218.75,-161.875,218.75
August,2014,2.6,0.2925,2.6
December,2017,66.284,-178.9668,66.284
June,2017,35.168,9.6712,35.168
December,2017,444.768,44.4768,444.768
December,2017,83.92,5.874400000,83.92
December,2017,131.98,35.6346,131.98
December,2017,15.92,7.4824,15.92
December,2017,52.29,16.2099,52.29
December,2017,91.99,3.679600000,91.99
February,2015,20.8,6.5,20.8
January,2015,23.68,8.88,23.68
January,2015,452.45,-244.323,452.45
January,2015,62.982,-14.6958,62.982
January,2015,1188,-950.4,1188
January,2015,89.584,4.479200000,89.584
October,2016,93.06,26.0568,93.06
October,2016,302.376,22.6782,302.376
December,2015,5.584,1.8148,5.584
December,2015,22.704,8.2302,22.704
December,2015,19.776,-13.8432,19.776
December,2015,72.704,19.0848,72.704
December,2015,479.988,-383.9904,479.988
December,2015,27.168,2.7168,27.168
August,2015,2.2,0.968,2.2
August,2015,622.45,136.939,622.45
August,2015,21.98,0.219800000,21.98
February,2015,161.568,-28.2744,161.568
February,2015,389.696,43.8408,389.696
September,2014,18.648,-12.432,18.648
April,2017,233.86,-102.048,233.86
April,2017,620.6145,-248.2458,620.6145
April,2017,5.328,-3.552,5.328
April,2017,258.072,0,258.072
April,2017,617.976,-7.724700000,617.976
November,2017,10.56,4.752,10.56
June,2016,25.92,9.396,25.92
June,2016,419.68,-356.728,419.68
June,2016,11.688,-4.6752,11.688
June,2016,31.984,11.1944,31.984
June,2016,177.225,-120.513,177.225
June,2016,4.044,-2.8308,4.044
June,2016,7.408,1.2038,7.408
June,2014,2001.86,580.5394,2001.86
June,2014,166.72,41.68,166.72
June,2014,47.88,23.94,47.88
June,2014,1503.25,496.0725,1503.25
June,2014,25.92,12.4416,25.92
December,2016,321.568,28.1372,321.568
September,2016,7.61,3.5767,7.61
September,2016,3347.37,636.0003,3347.37
December,2016,80.58,22.5624,80.58
December,2016,361.92,162.864,361.92
November,2015,12.132,-8.4924,12.132
November,2015,82.368,-19.5624,82.368
November,2015,53.92,4.044,53.92
November,2015,647.904,56.6916,647.904
December,2017,20.37,6.9258,20.37
December,2017,221.55,6.646500000,221.55
December,2017,17.52,6.132,17.52
June,2017,1.624,-4.466,1.624
September,2014,3059.982,-509.997000000,3059.982
September,2014,2519.958,-251.9958,2519.958
June,2016,328.224,28.7196,328.224
November,2015,79.9,35.156,79.9
June,2017,14.016,4.7304,14.016
January,2016,7.56,0.3024,7.56
December,2017,37.208,-7.4416,37.208
December,2017,57.576,21.591,57.576
December,2017,725.84,210.4936,725.84
July,2015,209.93,92.3692,209.93
July,2015,5.28,2.3232,5.28
July,2015,10.92,4.095,10.92
September,2017,8.82,4.0572,8.82
September,2017,5.98,1.5548,5.98
October,2017,11.648,4.0768,11.648
October,2017,18.176,5.9072,18.176
October,2017,59.712,5.9712,59.712
October,2017,24.84,8.694,24.84
September,2015,2.08,-3.432,2.08
September,2015,1114.4,376.11,1114.4
November,2015,1038.84,51.942,1038.84
September,2015,141.76,47.844,141.76
September,2015,239.8,47.96,239.8
September,2015,31.104,10.8864,31.104
December,2016,254.058,-169.372,254.058
December,2016,194.528,24.316,194.528
December,2016,961.48,-204.3145,961.48
November,2016,19.096,6.6836,19.096
November,2016,18.496,6.2424,18.496
November,2016,255.984,54.3966,255.984
November,2016,86.97,-48.7032,86.97
December,2014,300.416,78.8592,300.416
December,2014,230.352,20.1558,230.352
December,2014,218.352,-24.5646,218.352
December,2014,78.6,-62.88,78.6
December,2014,27.552,9.2988,27.552
October,2016,32.4,15.552,32.4
October,2016,1082.48,10.824800000,1082.48
October,2016,56.91,27.3168,56.91
October,2016,77.6,38.024,77.6
October,2016,14.28,6.5688,14.28
November,2017,219.075,-131.445,219.075
May,2015,26.8,12.864,26.8
December,2014,9.84,2.8536,9.84
June,2014,45.48,20.9208,45.48
June,2014,289.2,83.868,289.2
April,2017,4.89,2.0049,4.89
September,2016,15.136,3.5948,15.136
September,2016,466.768,52.5114,466.768
September,2016,15.232,1.7136,15.232
September,2016,6.264,2.0358,6.264
September,2014,87.54,37.6422,87.54
August,2014,178.384,22.298,178.384
August,2014,15.552,5.4432,15.552
December,2014,99.136,8.6744,99.136
November,2014,135.882,24.1568,135.882
November,2014,3991.98,1995.99,3991.98
November,2014,275.94,80.0226,275.94
November,2014,360,129.6,360
November,2014,43.57,13.071,43.57
September,2014,7.16,3.58,7.16
April,2016,251.52,81.744,251.52
April,2016,99.99,34.9965,99.99
November,2017,15.992,0.999500000,15.992
August,2016,290.898,-67.8762,290.898
August,2016,54.224,3.389,54.224
August,2016,786.744,-258.5016,786.744
August,2016,100.24,33.831,100.24
August,2016,37.764,-27.6936,37.764
April,2016,82.8,-20.7,82.8
April,2016,20.724,-13.816,20.724
April,2016,4.896,-3.4272,4.896
September,2015,4.752,1.6038,4.752
September,2015,959.984,335.9944,959.984
September,2015,14.368,4.49,14.368
July,2014,7.712,2.7956,7.712
July,2014,698.352,-17.458800000,698.352
June,2015,4.96,2.3312,4.96
April,2014,17.856,1.116,17.856
April,2014,509.97,-407.976,509.97
April,2014,30.992,10.0724,30.992
April,2014,71.928,8.391600000,71.928
December,2015,88.8,-2.220000000,88.8
June,2017,47.976,4.7976,47.976
July,2017,7.56,3.0996,7.56
July,2017,24.56,11.5432,24.56
July,2017,12.96,4.1472,12.96
September,2016,6.79,2.3086,6.79
September,2016,24.56,11.5432,24.56
September,2016,3.048,1.0668,3.048
September,2016,49.12,23.0864,49.12
September,2016,4355.168,1415.4296,4355.168
April,2016,388.704,-4.8588,388.704
April,2016,8.26,3.7996,8.26
April,2016,17.04,6.9864,17.04
April,2016,34.4,15.824,34.4
April,2016,36.24,11.325,36.24
March,2017,647.84,168.4384,647.84
March,2017,20.7,9.936,20.7
September,2017,20.7,9.936,20.7
September,2017,488.646,86.8704,488.646
September,2017,5.56,1.4456,5.56
September,2017,47.12,20.7328,47.12
September,2014,211.96,8.478400000,211.96
October,2016,23.2,10.44,23.2
October,2016,7.36,0.1472,7.36
October,2016,104.79,29.3412,104.79
October,2016,1043.92,271.4192,1043.92
May,2017,25.92,9.396,25.92
May,2017,53.424,4.6746,53.424
July,2014,8.16,-5.712,8.16
July,2014,1023.936,179.1888,1023.936
July,2014,9.24,0.924,9.24
July,2014,479.04,-29.94,479.04
September,2016,99.136,30.98,99.136
August,2017,1488.424,-297.6848,1488.424
April,2015,8.652,-20.3322,8.652
April,2015,23.832,2.6811,23.832
April,2015,12.176,-18.8728,12.176
October,2016,50.96,25.48,50.96
October,2016,49.536,17.3376,49.536
June,2015,41.9,8.799,41.9
November,2015,375.4575,-157.0095,375.4575
November,2015,83.976,-1.0497,83.976
December,2015,482.34,-337.638,482.34
December,2015,2.96,0.777,2.96
November,2014,2.624,0.4264,2.624
December,2017,23.36,7.884,23.36
December,2017,39.98,13.5932,39.98
September,2014,246.384,27.7182,246.384
September,2014,1799.97,701.9883,1799.97
June,2014,12.462,-20.5623,12.462
June,2017,75.792,25.5798,75.792
October,2017,49.96,9.4924,49.96
October,2017,12.96,6.2208,12.96
October,2015,70.12,21.036,70.12
September,2016,35.952,3.5952,35.952
September,2016,2396.2656,-317.1528,2396.2656
September,2016,131.136,-32.784,131.136
September,2016,57.584,0.719800000,57.584
December,2014,9.568,3.4684,9.568
April,2014,39.072,9.768,39.072
December,2017,35.91,9.6957,35.91
December,2017,179.95,37.7895,179.95
December,2017,1199.976,434.9913,1199.976
December,2017,27.15,13.3035,27.15
December,2017,1004.024,-112.9527,1004.024
December,2017,9.68,4.6464,9.68
December,2017,28.35,13.608,28.35
December,2017,55.98,27.4302,55.98
December,2017,1336.829,31.454800000,1336.829
December,2017,113.568,-18.4548,113.568
November,2017,139.86,65.7342,139.86
November,2017,307.136,26.8744,307.136
June,2017,95.92,25.8984,95.92
April,2016,383.8,38.38,383.8
November,2017,5.78,2.8322,5.78
March,2017,9.32,2.7028,9.32
March,2017,15.25,7.015,15.25
June,2014,196.752,56.5662,196.752
October,2017,56.56,14.7056,56.56
October,2017,32.7,8.502,32.7
August,2017,866.4,225.264,866.4
November,2017,28.4,11.076,28.4
November,2017,287.92,138.2016,287.92
September,2014,69.99,30.0957,69.99
October,2017,6.672,0.5004,6.672
April,2016,189.588,-145.3508,189.588
April,2016,408.744,76.6395,408.744
April,2016,291.96,54.7425,291.96
April,2016,4.768,-0.774800000,4.768
June,2016,714.3,207.147,714.3
December,2014,4.812,-3.6892,4.812
December,2014,247.8,-18.585,247.8
June,2016,1007.979,43.1991,1007.979
June,2016,313.488,113.6394,313.488
September,2017,31.872,11.5536,31.872
January,2017,207.846,2.309400000,207.846
September,2016,12.22,3.666,12.22
September,2016,194.94,23.3928,194.94
September,2016,70.95,20.5755,70.95
September,2016,91.36,42.0256,91.36
September,2016,242.94,29.1528,242.94
September,2016,22.05,10.584,22.05
March,2017,2.91,1.3677,2.91
April,2016,59.52,15.4752,59.52
April,2016,161.94,9.716400000,161.94
April,2016,263.88,71.2476,263.88
April,2016,30.48,7.9248,30.48
April,2016,9.84,2.8536,9.84
April,2016,35.12,9.1312,35.12
October,2017,284.364,-75.830400000,284.364
October,2017,665.408,66.5408,665.408
December,2016,63.88,24.9132,63.88
February,2014,129.568,-24.294,129.568
September,2016,747.558,-96.114600000,747.558
September,2016,8.928,3.348,8.928
December,2015,103.92,36.372,103.92
December,2015,899.91,377.9622,899.91
December,2015,51.312,18.6006,51.312
April,2016,23.56,7.068,23.56
April,2016,1272.63,-814.4832,1272.63
April,2016,28.485,-20.889,28.485
April,2016,185.376,-34.758,185.376
April,2016,78.272,5.8704,78.272
January,2015,254.744,-312.0614,254.744
March,2017,205.3328,-36.2352,205.3328
December,2016,4.788,-7.9002,4.788
December,2015,55.48,26.6304,55.48
November,2014,340.92,3.409200000,340.92
November,2014,222.666,10.4784,222.666
November,2014,703.968,87.996000000,703.968
November,2014,92.52,24.9804,92.52
November,2014,62.65,28.819,62.65
November,2014,94.85,45.528,94.85
July,2016,95.76,7.182,95.76
October,2016,40.2,19.296,40.2
June,2016,14.7,6.615,14.7
June,2016,704.25,84.51,704.25
October,2014,9.09,1.9089,9.09
July,2014,5.96,1.6688,5.96
July,2014,159.98,57.5928,159.98
June,2017,29.6,14.8,29.6
June,2017,514.165,-30.245,514.165
June,2017,279.96,17.4975,279.96
October,2014,2735.952,341.994,2735.952
June,2014,7.992,0.5994,7.992
June,2014,63.984,10.3974,63.984
June,2014,70.368,6.1572,70.368
September,2014,449.15,8.983000000,449.15
September,2014,11.07,5.0922,11.07
May,2016,93.98,13.1572,93.98
March,2016,189.882,-94.941,189.882
December,2015,105.42,51.6558,105.42
July,2016,119.616,40.3704,119.616
July,2016,255.76,81.8432,255.76
July,2016,241.568,18.1176,241.568
July,2016,69.3,22.869,69.3
May,2016,22.62,-15.08,22.62
May,2016,14.952,-11.9616,14.952
May,2016,801.568,50.098,801.568
May,2016,2.376,-1.9008,2.376
May,2016,32.792,11.8871,32.792
November,2017,15.92,5.373,15.92
March,2015,2.74,0.7398,2.74
March,2015,8.34,2.1684,8.34
March,2015,46.74,11.685,46.74
March,2015,6354.95,3177.475,6354.95
November,2017,126.3,40.416,126.3
November,2017,38.04,12.1728,38.04
October,2016,7.152,0.7152,7.152
December,2017,6.63,1.7901,6.63
December,2017,5.88,1.7052,5.88
January,2017,2999.95,1379.977,2999.95
January,2017,51.45,13.8915,51.45
January,2017,11.96,5.382,11.96
January,2017,1126.02,56.301,1126.02
March,2015,18.392,5.2877,18.392
March,2015,129.568,-25.9136,129.568
March,2015,14.112,-21.168,14.112
January,2017,210.98,21.098,210.98
May,2016,55.176,-12.4146,55.176
May,2016,66.26,27.1666,66.26
December,2015,22.2,10.434,22.2
October,2017,683.952,42.747,683.952
October,2017,45.696,5.140800000,45.696
September,2015,36.336,-7.2672,36.336
September,2015,666.248,-149.9058,666.248
September,2015,52.512,19.692,52.512
November,2015,190.72,11.92,190.72
September,2017,47.94,2.397,47.94
May,2016,979.95,274.386,979.95
May,2016,22.75,11.375,22.75
July,2016,16.768,1.4672,16.768
September,2017,42.616,-68.1856,42.616
December,2015,10.752,3.36,10.752
December,2015,152.94,41.2938,152.94
December,2015,283.92,70.98,283.92
February,2014,468.9,206.316,468.9
July,2016,380.864,38.0864,380.864
December,2015,646.776,-145.5246,646.776
May,2014,58.112,7.264000000,58.112
May,2014,100.792,6.2995,100.792
May,2014,66.112,-84.2928,66.112
November,2017,41.28,13.932,41.28
November,2017,13.36,6.4128,13.36
November,2015,250.272,15.642,250.272
November,2015,11.364,-17.046,11.364
November,2015,8.72,-1.744,8.72
April,2016,1121.568,0,1121.568
September,2017,34.504,6.0382,34.504
November,2017,10.824,2.5707,10.824
June,2017,1295.78,310.9872,1295.78
March,2014,19.456,3.4048,19.456
June,2016,20.7,9.936,20.7
June,2016,1335.68,-217.048,1335.68
June,2016,32.4,15.552,32.4
November,2017,42.6,16.614,42.6
November,2017,84.056,27.3182,84.056
September,2014,13,1.3,13
September,2014,13.128,3.7743,13.128
December,2015,3.96,0,3.96
December,2015,2.61,1.2006,2.61
December,2017,374.376,46.797,374.376
October,2017,91.84,45.0016,91.84
October,2017,81.088,27.3672,81.088
October,2017,19.44,9.3312,19.44
October,2017,451.152,0,451.152
December,2017,72.45,34.776,72.45
December,2017,13.96,6.4216,13.96
December,2017,33.264,11.2266,33.264
December,2017,14.85,4.0095,14.85
November,2016,8.82,2.3814,8.82
September,2015,160.72,78.7528,160.72
September,2015,19.92,9.7608,19.92
September,2015,7.3,2.19,7.3
July,2017,69.712,8.714,69.712
July,2017,8.792,-5.7148,8.792
September,2015,51.52,1.5456,51.52
December,2017,470.376,52.9173,470.376
December,2017,105.584,9.238600000,105.584
December,2017,31.152,3.5046,31.152
December,2017,6.783,-4.7481,6.783
December,2017,406.368,30.4776,406.368
July,2015,70.98,4.9686,70.98
July,2015,294.93,144.5157,294.93
March,2016,84.784,-20.1362,84.784
March,2016,20.736,7.2576,20.736
March,2016,16.821,-12.8961,16.821
March,2016,10.368,3.6288,10.368
January,2014,9.344,1.168,9.344
January,2014,31.2,9.75,31.2
August,2014,76.12,22.0748,76.12
August,2014,1199.976,434.9913,1199.976
August,2014,445.96,55.745000000,445.96
August,2014,327.76,91.7728,327.76
July,2016,11.632,1.0178,11.632
July,2016,143.982,-28.7964,143.982
July,2016,494.376,-115.3544,494.376
July,2016,5.84,0.73,5.84
March,2014,142.776,17.847,142.776
March,2014,45.696,5.140800000,45.696
March,2014,7.218,-5.5338,7.218
March,2014,43.188,-31.6712,43.188
March,2014,131.904,47.8152,131.904
May,2014,3.282,-2.6256,3.282
May,2014,21.168,2.3814,21.168
May,2014,55.188,-10.1178,55.188
April,2016,369.576,41.5773,369.576
April,2016,15.712,5.6956,15.712
September,2016,8.448,2.64,8.448
September,2016,728.946,-157.9383,728.946
November,2017,119.94,15.992,119.94
November,2017,3.648,-2.7968,3.648
August,2017,40.48,15.7872,40.48
August,2017,9.94,3.0814,9.94
August,2017,107.424,33.57,107.424
August,2017,37.91,10.9939,37.91
August,2017,88.02,27.2862,88.02
December,2014,8.69,-14.773,8.69
November,2015,301.96,87.5684,301.96
November,2015,555.21,178.901,555.21
November,2015,523.48,130.87,523.48
November,2015,161.82,46.9278,161.82
September,2017,35.56,12.0904,35.56
May,2017,97.16,28.1764,97.16
December,2017,15.24,5.1435,15.24
December,2017,13.23,6.0858,13.23
December,2016,243.384,-51.7191,243.384
December,2016,119.8,29.95,119.8
December,2016,300.768,30.0768,300.768
September,2017,17.88,2.4585,17.88
September,2017,235.944,85.5297,235.944
October,2015,392.94,43.2234,392.94
August,2016,18.882,-13.8468,18.882
August,2016,122.328,12.2328,122.328
May,2016,1049.2,272.792,1049.2
May,2016,15.424,5.0128,15.424
December,2016,18.84,6.0288,18.84
July,2017,330.4,85.904,330.4
July,2017,26.25,12.6,26.25
June,2017,132.52,54.3332,132.52
July,2017,6.48,3.1752,6.48
December,2017,209.3,56.511,209.3
April,2016,31.56,9.8625,31.56
April,2016,30.144,3.0144,30.144
December,2016,14.8,6.068,14.8
December,2016,302.376,22.6782,302.376
December,2016,316,31.6,316
October,2016,379.4,178.318,379.4
June,2017,97.82,45.9754,97.82
June,2017,103.12,10.312,103.12
August,2016,113.552,8.516400000,113.552
August,2016,3.318,-2.6544,3.318
August,2016,134.288,45.3222,134.288
September,2016,701.372,-50.098,701.372
September,2016,2.308,-3.462,2.308
August,2015,999.432,124.929,999.432
August,2015,724.08,-135.765,724.08
August,2015,918.785,-118.1295,918.785
August,2015,2.724,-4.2222,2.724
March,2016,459.95,18.398,459.95
November,2016,10.74,5.2626,10.74
June,2017,23.76,2.079,23.76
June,2017,85.056,28.7064,85.056
June,2017,381.576,28.6182,381.576
December,2014,30.36,8.7285,30.36
June,2017,23.976,-14.3856,23.976
June,2017,108.925,-71.8905,108.925
June,2017,36.352,11.36,36.352
June,2017,19.56,1.7115,19.56
December,2017,61.44,16.5888,61.44
December,2017,38.9,17.505,38.9
December,2017,99.39,40.7499,99.39
March,2017,2.688,-7.392,2.688
March,2017,27.816,4.5201,27.816
March,2017,82.524,-41.262,82.524
March,2017,182.994,-320.2395,182.994
November,2016,14.352,4.6644,14.352
November,2016,64.96,2.5984,64.96
November,2016,68.6,18.522,68.6
November,2017,7999.98,-3839.9904,7999.98
November,2017,167.44,14.651,167.44
July,2014,479.97,163.1898,479.97
July,2014,14.62,6.8714,14.62
July,2014,19.44,9.3312,19.44
December,2017,191.984,4.799600000,191.984
June,2014,104.01,14.5614,104.01
June,2014,284.82,74.0532,284.82
June,2014,36.84,10.3152,36.84
March,2015,166.24,24.936,166.24
March,2015,33.4,16.032,33.4
May,2015,198.272,17.3488,198.272
May,2015,47.36,17.76,47.36
May,2015,200.984,62.8075,200.984
May,2015,97.696,31.7512,97.696
May,2015,2.696,0.8088,2.696
May,2015,18.588,-13.6312,18.588
May,2015,4.896,-3.4272,4.896
September,2017,15.072,4.1448,15.072
November,2016,209.88,35.6796,209.88
April,2015,369.912,-13.8717,369.912
September,2014,10.368,3.6288,10.368
September,2014,166.84,18.7695,166.84
September,2014,15.216,2.2824,15.216
December,2014,119.96,52.7824,119.96
December,2014,883.92,-110.49,883.92
December,2014,46.72,15.768,46.72
April,2014,55.48,26.6304,55.48
September,2017,24.448,8.8624,24.448
May,2017,281.34,109.7226,281.34
May,2017,307.98,89.3142,307.98
May,2017,299.97,113.9886,299.97
July,2014,19.92,6.972,19.92
January,2014,9.94,3.0814,9.94
September,2017,103.056,24.4758,103.056
June,2014,59.808,19.4376,59.808
June,2014,73.32,21.996,73.32
February,2016,146.82,73.41,146.82
December,2016,1652.94,231.4116,1652.94
December,2016,296.37,80.0199,296.37
October,2014,129.92,21.112,129.92
July,2016,45.584,5.1282,45.584
September,2017,17.568,6.3684,17.568
September,2017,55.992,5.5992,55.992
December,2016,182.72,84.0512,182.72
December,2016,400.032,-153.3456,400.032
December,2016,33.63,10.089,33.63
December,2016,542.646,102.4998,542.646
December,2016,6.3,3.024,6.3
January,2017,242.94,9.717600000,242.94
January,2017,179.97,86.3856,179.97
January,2017,99.696,33.6474,99.696
January,2017,27.936,9.4284,27.936
January,2017,84.98,18.6956,84.98
January,2017,18.72,6.552,18.72
September,2014,49.98,8.496600000,49.98
January,2014,11.784,4.2717,11.784
January,2014,272.736,-64.7748,272.736
January,2014,3.54,-5.487,3.54
August,2016,51.52,-10.948,51.52
August,2016,3.528,1.1466,3.528
August,2016,4.624,1.6762,4.624
August,2016,55.168,6.206400000,55.168
May,2014,567.12,-28.356,567.12
May,2014,359.32,7.186400000,359.32
March,2016,11.992,0.899400000,11.992
October,2017,58.05,26.703,58.05
October,2017,157.74,56.7864,157.74
October,2017,56.98,22.792,56.98
October,2017,2.88,1.4112,2.88
April,2016,1199.976,374.9925,1199.976
December,2015,79.92,28.7712,79.92
September,2016,383.438,-167.3184,383.438
December,2014,24.56,6.8768,24.56
December,2014,119.8,47.92,119.8
July,2017,13.128,4.2666,13.128
September,2017,22.72,10.224,22.72
August,2015,58.32,27.9936,58.32
November,2017,12.39,5.6994,12.39
February,2015,107.982,-26.9955,107.982
January,2014,11.36,5.3392,11.36
January,2014,50.94,25.47,50.94
January,2014,646.74,258.696,646.74
January,2014,5.64,2.7072,5.64
January,2014,572.58,34.3548,572.58
May,2014,310.88,23.316,310.88
May,2016,641.96,179.7488,641.96
January,2017,18.28,9.14,18.28
January,2017,207,51.75,207
January,2017,32.35,16.175,32.35
